   Compiling vaultwarden-cli v0.5.4 (/home/sixtocantolla/sessions/day-to-day/vaultwarden-cli-story-1-4)
test access::provider_store::tests::empty_legacy_v1_state_loads_with_an_empty_image_registry ... ok
test access::provider::tests::preflight_uses_revalidated_durable_state_not_a_stale_cache ... ok
test access::provider_store::tests::opened_handles_are_revalidated_as_regular_private_owner_files ... ok
test access::provider_store::tests::persistence_helpers_fail_closed_for_invalid_sync_or_stale_temp ... ok
test access::provider::tests::startup_cleanup_precedes_registered_image_integrity_validation ... ok
test access::provider_store::tests::post_rename_durability_failure_poisoning_blocks_stale_state_use ... ok
test access::provider::tests::stale_revision_precedes_argument_processing_and_mutates_nothing ... ok
test access::provider_store::tests::state_validation_rejects_bad_versions_duplicate_ids_and_unbound_operations ... ok
test access::provider_store::tests::state_and_stable_lock_are_private ... ok
test access::provider_store::tests::replacement_preserves_a_complete_state_and_lock_excludes_second_writer ... ok
test access::tests::public_key_round_trip_preserves_verification_key ... ok
test access::tests::rejects_arbitrary_command_shaped_operation_id ... ok
test access::tests::rejects_expired_or_nul_containing_requests ... ok
test access::tests::rejects_non_strict_operation_ids_and_uppercase_revisions ... ok
test access::tests::request_digest_binds_agent_operation_revision_and_args ... ok
test access::provider_store::tests::invalidation_changes_only_unexecuted_request_lifecycle_states ... ok
test access::tests::signed_request_rejects_tampering ... ok
test adapters::desktop_launch::tests::child_receives_only_artifact_path_trusted_environment_and_null_streams ... ok
test adapters::desktop_launch::tests::isolated_system_launcher_child ... ignored, invoked only by the isolated desktop test subprocess
test access::provider_store::tests::symlinked_lock_or_state_fails_closed ... ok
test adapters::desktop_launch::tests::nonzero_and_spawn_failure_are_closed_review_errors ... ok
test adapters::desktop_launch::tests::trust_requires_each_independent_launcher_metadata_condition ... ok
test adapters::desktop_launch::tests::fixed_system_launcher_uses_only_an_isolated_desktop_association ... ok
test adapters::human_socket::tests::any_panicked_worker_is_reported_while_running_workers_remain ... ok
test access::direct_request_tests::deadlines_survive_wall_rollback_and_terminal_states_do_not_revive ... ok
test adapters::human_socket::tests::connected_transport_descriptor_remains_close_on_exec ... ok
test adapters::human_socket::tests::descriptor_exhaustion_and_valid_zero_are_isolated_in_child_processes ... ok
test adapters::human_socket::tests::empty_and_embedded_nul_paths_fail_before_connecting_a_valid_prefix ... ok
test adapters::human_socket::tests::finished_successful_workers_release_capacity_without_failure ... ok
test access::provider_store::tests::upsert_replaces_only_the_matching_operation_id ... ok
test adapters::human_socket::tests::full_live_listener_backlog_is_not_recovered_as_a_stale_socket ... ok
test adapters::human_socket::tests::isolated_descriptor_fixture ... ignored, isolated process fixture invoked by descriptor regression wrapper
test adapters::human_socket::tests::literal_two_mebibyte_frame_boundary_is_independent_of_production_constant ... ok
test adapters::human_socket::tests::only_an_empty_nonblocking_accept_backlog_is_retryable ... ok
test adapters::human_socket::tests::oversized_path_is_rejected_before_kernel_truncation_can_connect ... ok
test adapters::human_socket::tests::peer_credentials_require_success_and_complete_structure_independently ... ok
test adapters::human_socket::tests::private_boundary_rejects_unsafe_root_socket_symlink_and_active_listener ... ok
test adapters::human_socket::tests::frames_require_eof_reject_oversize_and_bound_slow_input_time ... ok
test adapters::human_socket::tests::socket_lookup_allows_only_missing_and_rejects_other_errors_before_bind ... ok
test adapters::human_socket::tests::stale_socket_rebinds_and_drop_preserves_replacement_inode ... ok
test adapters::human_socket::tests::uid_and_private_metadata_reject_each_independent_wrong_condition ... ok
test adapters::loopback_ui::tests::accept_retries_only_would_block_and_preserves_fatal_errors ... ok
test adapters::loopback_ui::tests::accepted_connections_require_loopback_peers_before_handoff ... ok
test adapters::human_socket::tests::actual_socket_authenticates_kernel_peer_rejects_input_and_cleans_up ... ok
test adapters::loopback_ui::tests::cleanup_schedule_is_due_initially_then_at_exact_one_second_intervals ... ok
test adapters::desktop_launch::tests::timeout_kills_and_reaps_the_started_child ... ok
test adapters::loopback_ui::tests::direct_request_browser_fixture ... ignored, run with tests/ui/direct-request.mjs and a disposable trusted browser profile
test adapters::loopback_ui::tests::failed_launch_and_invalid_ids_leave_no_reusable_capability_or_artifact ... ok
test adapters::loopback_ui::tests::cookie_only_pages_never_recover_proof_and_cookie_pairs_are_unambiguous ... ok
test adapters::loopback_ui::tests::launch_directory_requires_type_owner_and_mode_independently ... ok
test adapters::loopback_ui::tests::browser_sessions_survive_new_launches_and_proofs_cannot_cross_sessions ... ok
test adapters::loopback_ui::tests::parser_bounds_body_and_rejects_ambiguous_framing ... ok
test adapters::loopback_ui::tests::hostile_requests_never_authenticate_or_reflect_passwords ... ok
test adapters::human_socket::tests::sixteen_admitted_socket_workers_reject_excess_then_recover_capacity ... ok
test adapters::loopback_ui::tests::launch_is_private_one_use_and_session_is_bound_to_csrf ... ok
test adapters::loopback_ui::tests::public_shell_is_accessible_and_has_no_decision_or_html_injection_handlers ... ok
test adapters::loopback_ui::tests::password_limit_allows_exactly_4096_bytes_without_reflecting_input ... ok
test adapters::loopback_ui::tests::request_handoff_is_private_one_use_and_launcher_gets_only_artifact ... ok
test access::direct_request_tests::malformed_new_metadata_and_outcomes_are_rejected ... ok
test adapters::loopback_ui::tests::pending_request_exchange_review_expiry_and_prune_are_authenticated ... ok
test adapters::loopback_ui::tests::restart_does_not_accept_old_launch_cookie_or_csrf ... ok
test adapters::loopback_ui::tests::tls_identity_rejects_owned_fifo_even_with_valid_certificate_contents ... ok
test access::direct_request_tests::each_admission_rejection_has_no_record_and_no_desktop ... ok
test adapters::loopback_ui::tests::tls_identity_requires_private_single_link_files_and_exact_size_bound ... ok
test adapters::session::tests::kdf_cost_is_validated_before_expensive_derivation ... ok
test adapters::session::tests::production_clock_advances_monotonically ... ok
test adapters::loopback_ui::tests::tls_identity_requires_owned_bounded_regular_private_files_and_matching_key ... ok
test adapters::session::tests::provider_keyring_deletes_real_record_and_preserves_cli_and_bootstrap ... ok
test adapters::session::tests::setup_rejects_authority_and_unsafe_files ... ok
test adapters::session::tests::setup_rejects_owned_fifo_even_with_valid_complete_configuration ... ok
test adapters::session::tests::silent_derivation_and_setup_require_supported_authenticated_keys ... ok
test adapters::session::tests::suspend_clock_boundaries_and_failures_never_extend_authority ... ok
test adapters::session::tests::valid_setup_still_rejects_authority_unsafe_modes_links_and_oversize ... ok
test adapters::loopback_ui::tests::stale_request_launch_is_consumed_without_granting_a_browser_session ... ok
test adapters::loopback_ui::tests::server_removes_expired_launch_without_browser_traffic_before_shutdown ... ok
test adapters::vaultwarden::tests::organization_binding_uses_only_provisioned_org_keys ... ok
test access::direct_request_tests::supported_closed_outcomes_project_without_new_decision_handlers ... ok
test adapters::vaultwarden::tests::compatibility_is_exact_and_never_fetches_items ... ok
test adapters::vaultwarden::tests::personal_and_organization_item_keys_authenticate_before_selected_fields ... ok
test adapters::vaultwarden::tests::provider_lock_and_restart_clear_the_actual_adapter_keyring_session ... ok
test adapters::loopback_ui::tests::request_capabilities_are_bounded_and_never_replace_older_ones ... ok
test adapters::vaultwarden::tests::real_password_keyring_session_and_selective_resolution_stay_redacted ... ok
test adapters::vaultwarden::tests::redirect_and_oversized_metadata_fail_closed ... ok
test commands::tests::cipher_uri_matches_tests::matches_uri_through_login_uris ... ok
test commands::tests::cipher_uri_matches_tests::returns_false_when_no_uris_present ... ok
test commands::tests::cipher_uri_matches_tests::uri_match_is_case_insensitive ... ok
test commands::tests::command_state_tests::test_lock_deletes_saved_keys ... ok
test adapters::vaultwarden::tests::url_validation_never_echoes_input_or_accepts_credential_urls ... ok
test adapters::vaultwarden::tests::response_limit_accepts_exact_boundary_and_rejects_oversized_valid_json ... ok
test adapters::loopback_ui::tests::sixty_four_browser_sessions_allow_existing_review_but_reject_new_sessions ... ok
test adapters::human_socket::tests::client_allows_desktop_handoff_longer_than_hostile_input_deadline ... ok
test adapters::vaultwarden::tests::token_validation_rejects_expired_or_mismatched_authority_before_persistence ... ok
test commands::tests::command_state_tests::test_lock_reports_keyring_delete_failure ... ok
test commands::tests::command_state_tests::test_logout_clears_config_and_keys ... ok
test commands::tests::command_state_tests::test_logout_reports_client_secret_delete_failure ... ok
test commands::tests::decrypt_cipher_tests::test_cipher_type_to_string ... ok
test commands::tests::command_state_tests::test_logout_when_not_logged_in ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_errors_on_invalid_custom_field_name ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_errors_on_invalid_custom_field_value ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_errors_on_invalid_ssh_fingerprint ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_errors_on_invalid_ssh_private_key ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_no_name_fails ... ok
test commands::tests::decrypt_cipher_tests::test_decrypt_cipher_errors_on_invalid_ssh_public_key ... ok
test commands::tests::decrypt_cipher_tests::test_list_env_name_profile_skips_secret_value_decryption ... ok
test commands::tests::decrypt_cipher_tests::test_interpolation_profile_decrypts_only_requested_component ... ok
test commands::tests::ensure_unlocked_tests::test_ensure_unlocked_with_keys ... ok
test commands::tests::command_state_tests::test_status_token_expired ... ok
test commands::tests::ensure_unlocked_tests::test_ensure_unlocked_without_keys ... ok
test commands::tests::decrypt_cipher_tests::test_run_env_profile_decrypts_first_uri ... ok
test commands::tests::command_state_tests::test_status_when_logged_in_locked ... ok
test commands::tests::command_state_tests::test_status_when_logged_in_unlocked ... ok
test commands::tests::command_state_tests::test_status_when_not_logged_in ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_errors_when_expired_without_refresh ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_errors_when_not_logged_in ... ok
test commands::tests::ensure_valid_token_tests::test_token_needs_refresh_with_max_expiry ... ok
test commands::tests::ensure_valid_token_tests::test_token_needs_refresh_with_min_expiry ... ok
test commands::tests::ensure_valid_token_tests::test_token_needs_refresh_with_negative_expiry ... ok
test commands::tests::filter_resolution_tests::test_cipher_matches_filters_allows_no_filters ... ok
test commands::tests::filter_resolution_tests::test_cipher_matches_filters_checks_org_and_collection ... ok
test commands::tests::filter_resolution_tests::test_cipher_matches_filters_rejects_nonmatching_folder ... ok
test commands::tests::filter_resolution_tests::test_resolve_collection_id_errors_without_matching_decrypted_name ... ok
test commands::tests::filter_resolution_tests::test_resolve_collection_id_matches_exact_id ... ok
test commands::tests::filter_resolution_tests::test_resolve_collection_id_matches_decrypted_name_with_org_scope ... ok
test commands::tests::filter_resolution_tests::test_resolve_org_id_errors_when_missing ... ok
test commands::tests::filter_resolution_tests::test_resolve_collection_id_rejects_ambiguous_decrypted_name_without_org_scope ... ok
test commands::tests::filter_resolution_tests::test_resolve_org_id_matches_exact_id ... ok
test commands::tests::filter_resolution_tests::test_resolve_org_id_matches_name_case_insensitively ... ok
test commands::tests::find_cipher_output_by_uri_tests::errors_when_no_ciphers_match_uri ... ok
test commands::tests::find_cipher_output_tests::returns_none_when_no_ciphers ... ok
test commands::tests::find_cipher_output_tests::returns_none_when_predicate_never_matches ... ok
test commands::tests::find_cipher_output_tests::skips_ciphers_that_fail_filter ... ok
test commands::tests::find_cipher_output_tests::skips_ciphers_whose_keys_cannot_be_resolved ... ok
test commands::tests::find_cipher_output_tests::returns_some_when_cipher_matches ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_refresh_failure ... ok
test adapters::vaultwarden::tests::resolution_rejects_wrong_deleted_unmarked_or_ambiguous_items ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_refreshes_successfully ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_returns_token_when_not_expired ... ok
test commands::tests::get_cipher_keys_tests::test_get_cipher_keys_missing_org_keys ... ok
test commands::tests::get_cipher_keys_tests::test_get_cipher_keys_no_keys_at_all ... ok
test commands::tests::get_cipher_keys_tests::test_get_cipher_keys_org_cipher ... ok
test commands::tests::get_cipher_keys_tests::test_get_cipher_keys_user_cipher ... ok
test adapters::session::tests::provider_guards_ignore_the_direct_cli_insecure_mac_override ... ok
test commands::tests::ensure_valid_token_tests::test_ensure_valid_token_serializes_concurrent_refresh ... ok
test commands::tests::get_by_uri_tests::test_get_by_uri_match ... ok
test commands::tests::get_by_uri_tests::test_get_by_uri_matches_secondary_uri ... ok
test commands::tests::get_by_uri_tests::test_get_by_uri_matches_when_name_does_not_match ... ok
test commands::tests::get_by_uri_tests::test_get_by_uri_not_found ... ok
test commands::tests::get_by_uri_tests::test_get_by_uri_reports_ambiguous_when_multiple_items_match ... ok
test commands::tests::interpolate_helpers_tests::test_parse_placeholder_invalid ... ok
test commands::tests::interpolate_helpers_tests::test_parse_placeholder_uses_last_dot ... ok
test commands::tests::interpolate_helpers_tests::test_parse_placeholder_valid ... ok
test commands::tests::interpolate_helpers_tests::test_resolve_component ... ok
test commands::tests::get_tests::test_get_allows_id_to_disambiguate_duplicate_names ... ok
test commands::tests::get_tests::test_get_by_id ... ok
test commands::tests::get_tests::test_get_by_name ... ok
test commands::tests::get_tests::test_get_by_name_with_collection_filter_uses_filtered_ciphers ... ok
test commands::tests::get_tests::test_get_does_not_fall_back_to_uri_match ... ok
test commands::tests::get_tests::test_get_fails_on_duplicate_item_names ... ok
test commands::tests::get_tests::test_get_not_found ... ok
test commands::tests::interpolate_tests::test_interpolate_allows_item_id_to_disambiguate_duplicate_names ... ok
test commands::tests::interpolate_tests::test_interpolate_fails_on_case_insensitive_duplicate_item_names ... ok
test commands::tests::interpolate_tests::test_interpolate_fails_on_duplicate_item_names ... ok
test commands::tests::interpolate_tests::test_interpolate_fails_on_missing_placeholder ... ok
test commands::tests::interpolate_tests::test_interpolate_replaces_placeholders ... ok
test commands::tests::interpolate_tests::test_interpolate_resolves_placeholder_by_id_with_many_ciphers ... ok
test commands::tests::interpolate_tests::test_interpolate_skip_missing_leaves_ambiguous_placeholder_unchanged ... ok
test commands::tests::interpolate_tests::test_interpolate_skips_missing_placeholders ... ok
test commands::tests::interpolate_tests::test_interpolate_writes_to_output_file ... ok
test commands::tests::interpolate_tests::test_run_with_collection_filter_fails_on_selected_missing_org_key ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_allows_id_to_disambiguate_duplicate_names ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_decrypts_filtered_collection_items ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_errors_on_empty_uri_search_input ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_fails_on_duplicate_item_names ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_matches_secondary_uri ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_reports_ambiguous_uri_matches ... ok
test commands::tests::interpolate_tests::test_run_with_secrets_returns_child_exit_without_terminating_caller ... ok
test commands::tests::list_tests::test_list_invalid_type_filter_errors ... ok
test commands::tests::list_tests::test_list_no_filters_shows_all_items ... ok
test commands::tests::list_tests::test_list_no_matches ... ok
test commands::tests::list_tests::test_list_with_search_filter ... ok
test commands::tests::list_tests::test_list_with_type_filter ... ok
test commands::tests::output_helper_tests::test_cipher_to_env_vars_includes_ssh_fields ... ok
test commands::tests::output_helper_tests::test_cipher_to_env_vars_includes_standard_and_custom_fields ... ok
test commands::tests::output_helper_tests::test_cipher_to_env_vars_skips_absent_standard_fields ... ok
test commands::tests::output_helper_tests::test_format_list_output_json ... ok
test commands::tests::output_helper_tests::test_format_list_output_json_empty_array ... ok
test commands::tests::output_helper_tests::test_format_list_output_plain_env_names_match_cipher_to_env_vars ... ok
test commands::tests::output_helper_tests::test_format_list_output_plain_env_vars ... ok
test commands::tests::output_helper_tests::test_format_list_output_plain_env_vars_includes_ssh_fields ... ok
test commands::tests::output_helper_tests::test_format_list_output_plain_env_vars_with_grouped_parents ... ok
test commands::tests::output_helper_tests::test_format_unmatched_placeholder_warning_deduplicates_and_sorts ... ok
test commands::tests::output_helper_tests::test_format_unmatched_placeholder_warning_returns_none_when_empty ... ok
test commands::tests::output_helper_tests::test_resolve_component_errors_for_missing_standard_field ... ok
test commands::tests::output_helper_tests::test_resolve_component_errors_for_unknown_custom_field ... ok
test commands::tests::output_helper_tests::test_run_uri_env_and_info_names_for_login_item ... ok
test commands::tests::output_helper_tests::test_run_uri_env_omitted_when_login_item_has_no_uri ... ok
test commands::tests::output_helper_tests::test_write_interpolated_output_can_replace_input_path_after_read ... ok
test commands::tests::output_helper_tests::test_write_interpolated_output_replaces_existing_file_atomically ... ok
test commands::tests::output_helper_tests::test_write_interpolated_output_reports_write_failure_context ... ok
test commands::tests::output_helper_tests::test_write_interpolated_output_writes_to_file ... ok
test commands::tests::plaintext_json_policy_tests::allows_plaintext_json_when_non_interactive_output_is_explicitly_enabled ... ok
test commands::tests::plaintext_json_policy_tests::allows_plaintext_json_when_stdout_is_terminal ... ok
test commands::tests::plaintext_json_policy_tests::rejects_plaintext_json_when_stdout_is_captured_without_opt_in ... ok
test commands::tests::print_cipher_output_tests::test_cipher_to_env_vars_keeps_raw_values_for_direct_injection ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env_edge_names_round_trip_through_shell ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env_preserves_multiline_values ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env_rejects_nul_values ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env_shell_quotes_sensitive_values ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_env_uses_portable_names_for_edge_cases ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_json ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_missing_password ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_missing_username ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_password_alias ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_username ... ok
test commands::tests::print_cipher_output_tests::test_format_cipher_output_value ... ok
test commands::tests::query_helpers_tests::test_find_cipher_output_finds_match ... ok
test commands::tests::query_helpers_tests::test_find_cipher_output_no_match ... ok
test commands::tests::query_helpers_tests::test_get_field_string_none ... ok
test commands::tests::query_helpers_tests::test_get_field_string_some ... ok
test commands::tests::query_helpers_tests::test_output_matches_search_name ... ok
test commands::tests::query_helpers_tests::test_output_matches_search_no_match ... ok
test commands::tests::query_helpers_tests::test_output_matches_search_uri ... ok
test commands::tests::query_helpers_tests::test_output_matches_search_username ... ok
test commands::tests::query_helpers_tests::test_try_decrypt_none ... ok
test commands::tests::query_helpers_tests::test_try_decrypt_some ... ok
test commands::tests::resolve_collection_id_missing_keys_tests::errors_when_org_keys_unavailable_for_decrypted_name ... ok
test commands::tests::run_with_decrypted_outputs_tests::errors_when_no_command_and_not_info_only ... ok
test commands::tests::run_with_decrypted_outputs_tests::info_only_prints_env_var_names ... ok
test commands::tests::run_with_decrypted_outputs_tests::info_only_with_empty_env_vars_still_succeeds ... ok
test commands::tests::sanitize_env_name_tests::test_already_valid_env_name ... ok
test commands::tests::sanitize_env_name_tests::test_consecutive_special_chars ... ok
test commands::tests::sanitize_env_name_tests::test_edge_case_names_are_portable_identifiers ... ok
test commands::tests::sanitize_env_name_tests::test_empty_string ... ok
test commands::tests::sanitize_env_name_tests::test_lowercase_to_uppercase ... ok
test commands::tests::sanitize_env_name_tests::test_mixed_input ... ok
test commands::tests::sanitize_env_name_tests::test_numbers_preserved ... ok
test commands::tests::sanitize_env_name_tests::test_simple_name ... ok
test commands::tests::sanitize_env_name_tests::test_spaces_to_underscores ... ok
test commands::tests::sanitize_env_name_tests::test_special_characters_to_underscores ... ok
test commands::tests::sanitize_env_name_tests::test_unicode_characters ... ok
test commands::tests::shell_quote_env_value_tests::test_empty_string ... ok
test commands::tests::shell_quote_env_value_tests::test_escapes_single_quotes ... ok
test commands::tests::shell_quote_env_value_tests::test_export_assignment_round_trips_through_shell ... ok
test commands::tests::shell_quote_env_value_tests::test_no_escaping_needed ... ok
test commands::tests::shell_quote_env_value_tests::test_preserves_multiline_and_carriage_return_values ... ok
test commands::tests::shell_quote_env_value_tests::test_quote_followed_by_escaped_sequence ... ok
test commands::tests::shell_quote_env_value_tests::test_quote_plus_escaped_sequence_round_trips_through_shell ... ok
test commands::tests::shell_quote_env_value_tests::test_quotes_shell_sensitive_bytes_without_expansion ... ok
test commands::tests::shell_quote_env_value_tests::test_rejects_nul ... ok
test commands::tests::time_tests::system_time_to_unix_seconds_rejects_pre_epoch_time ... ok
test commands::tests::time_tests::system_time_to_unix_seconds_returns_epoch_seconds ... ok
test commands::tests::token_expiry_from_lifetime_tests::rejects_negative_expires_in ... ok
test commands::tests::token_expiry_from_lifetime_tests::rejects_overflowing_expires_in ... ok
test commands::tests::token_expiry_from_lifetime_tests::rejects_zero_expires_in ... ok
test commands::tests::token_expiry_from_lifetime_tests::returns_valid_expiry ... ok
test commands::tests::token_needs_refresh_no_expiry_tests::returns_false_when_no_expiry_set ... ok
test commands::tests::login_tests::test_login_fails_on_invalid_credentials ... ok
test commands::tests::login_tests::test_login_fails_when_server_unreachable ... ok
test commands::tests::login_tests::test_login_rejects_negative_expires_in ... ok
test commands::tests::login_tests::test_login_rejects_zero_expires_in ... ok
test config::tests::config_state_tests::test_config_default ... ok
test config::tests::config_state_tests::test_get_server ... ok
test config::tests::config_state_tests::test_get_server_none ... ok
test config::tests::config_state_tests::test_is_logged_in_false_when_no_server ... ok
test config::tests::config_state_tests::test_is_logged_in_false_when_no_token ... ok
test config::tests::config_state_tests::test_is_logged_in_true_when_both_present ... ok
test config::tests::config_state_tests::test_is_unlocked_false_when_no_keys ... ok
test config::tests::config_state_tests::test_is_unlocked_true_when_keys_present ... ok
test config::tests::file_io_tests::test_clear_config_fields ... ok
test config::tests::file_io_tests::test_config_dir_returns_path ... ok
test config::tests::file_io_tests::test_config_path_is_config_json ... ok
test config::tests::file_io_tests::test_config_save_load_roundtrip ... ok
test config::tests::file_io_tests::test_delete_keys_file ... ok
test config::tests::file_io_tests::test_delete_nonexistent_keys_ok ... ok
test config::tests::file_io_tests::test_keys_path_is_keys_json ... ok
test config::tests::file_io_tests::test_keys_save_load_roundtrip ... ok
test config::tests::file_io_tests::test_load_empty_keys_file ... ok
test config::tests::file_io_tests::test_org_keys_save_load_roundtrip ... ok
test config::tests::key_retrieval_tests::test_get_keys_for_cipher_no_keys ... ok
test config::tests::key_retrieval_tests::test_get_keys_for_cipher_org_keys ... ok
test config::tests::key_retrieval_tests::test_get_keys_for_cipher_org_not_found ... ok
test config::tests::key_retrieval_tests::test_get_keys_for_cipher_user_keys ... ok
test config::tests::keyring_delete_tests::delete_client_secret_ignores_missing_keyring_entry ... ok
test config::tests::keyring_delete_tests::delete_client_secret_reports_keyring_delete_failure ... ok
test config::tests::keyring_delete_tests::delete_saved_keys_ignores_missing_keyring_entry ... ok
test config::tests::keyring_delete_tests::delete_saved_keys_reports_keyring_delete_failure ... ok
test config::tests::keyring_delete_tests::delete_saved_tokens_reports_keyring_delete_failure ... ok
test config::tests::serialization_tests::test_config_deserialization ... ok
test config::tests::serialization_tests::test_config_deserialization_maps_zero_and_invalid_kdf_iterations_to_none ... ok
test config::tests::serialization_tests::test_config_serialization_excludes_crypto_keys ... ok
test config::tests::serialization_tests::test_config_serialization_excludes_tokens ... ok
test config::tests::serialization_tests::test_config_with_org_keys ... ok
test commands::tests::login_tests::test_login_success_with_provided_credentials ... ok
test commands::tests::login_tests::test_login_sync_failure_does_not_persist_logged_in_session ... ok
test commands::tests::login_tests::test_login_uses_existing_config_server_and_client_id ... ok
test crypto::crypto_keys::tests::roundtrip_tests::test_mac_verification_fails_on_tampered_data ... ok
test crypto::crypto_keys::tests::roundtrip_tests::test_roundtrip_empty_string ... ok
test crypto::crypto_keys::tests::roundtrip_tests::test_roundtrip_long_text ... ok
